"line_code","env_code","DTA","DTS","PH","EH","grain_moisture","yield_bu_ac"
"M0041/LH198","MNH1_14",78.3119633720918,81.6954463903549,182.927294103725,87.2571561170917,27.2364467588626,77.2207459091194
"M0045/LH198","MNH1_14",75.4087625143799,80.5661206704284,180.266353294789,104.651252617893,28.0624493642043,75.5190237186498
"M0051/CG102","MNH1_14",72.4546674699458,73.3759612764775,191.239574225307,72.3754338139315,28.0296304219136,118.650494613615
"M0051/LH198","MNH1_14",75.3119633720918,77.6954463903549,196.927294103725,91.7571561170917,25.2364467588626,98.6807742091193
"M0052/CG102","MNH1_14",70.9546674699458,72.8759612764775,192.239574225307,85.3754338139315,27.3296304219136,127.088591848615
"M0058/CG102","MNH1_14",70.9546674699458,72.8759612764775,187.739574225307,79.3754338139315,23.3296304219136,90.1679937786153
"M0061/LH198","MNH1_14",74.8211586203986,77.3037244559059,178.761611292306,80.4271098687708,25.795184892646,69.4943725167232
"M0062/CG102","MNH1_14",70.6245591561062,73.5298031605003,194.303144197046,94.4639014674465,28.4441469148106,143.623461163684
"M0062/LH198","MNH1_14",76.8327713395895,78.0176824035156,168.405161466631,82.5451619724038,28.9718335388007,87.8417848262445
"M0067/CG102","MNH1_14",71.9546674699458,73.3759612764775,199.739574225307,86.8754338139315,26.5296304219136,140.292371598615
"M0075/CG102","MNH1_14",71.5112980319993,72.4272419044851,186.927430882553,83.7382563651032,27.5344692528792,102.148690863638
"M0076/CG102","MNH1_14",71.6245591561062,72.5298031605003,181.303144197046,73.4639014674465,22.7441469148106,102.965006463684
"M0077/LH198","MNH1_14",83.2151642298037,84.8247721102815,174.588234912661,90.86305961629,29.3104441535209,72.2657850995889
"M0083/CG102","MNH1_14",70.4546674699458,72.3759612764775,186.739574225307,72.8754338139315,24.7796304219136,128.035493798615
"M0083/LH198","MNH1_14",75.3119633720918,76.6954463903549,197.427294103725,98.7571561170917,25.8364467588626,90.7516943541194
"M0085/LH198","MNH1_14",75.2151642298037,76.8247721102815,202.588234912661,95.86305961629,27.6104441535209,78.0525568595889
"M0087/CG102","MNH1_14",68.8446313653326,70.7605752378184,191.260764215886,84.4049230317698,25.5344692528792,119.165198053638
"M0087/LH198","MNH1_14",73.1522326945911,74.4695250614085,185.75324989136,90.019824735529,26.814909018842,87.3360702248277
"M0092/CG102","MNH1_14",69.4546674699458,71.3759612764775,202.739574225307,87.3754338139315,23.8796304219136,121.700372448615
"M0101/CG102","MNH1_14",71.9546674699458,72.8759612764775,204.239574225307,102.875433813931,23.9296304219136,118.607354698615
"M0101/LH198","MNH1_14",75.3211586203986,76.8037244559059,177.761611292306,96.9271098687708,25.945184892646,84.5025800317232
"M0114/CG102","MNH1_14",72.2847757837853,73.2221193924546,180.176004253567,84.2869661604164,29.4151139290166,137.521305733546
"M0118/LH198","MNH1_14",76.3119633720918,79.1954463903549,179.927294103725,95.2571561170917,26.1864467588626,84.6674204641193
"M0143/LH198","MNH1_14",76.3119633720918,78.6954463903549,202.927294103725,103.257156117092,28.4364467588626,85.8729525641193
"M0151/LH198","MNH1_14",75.8165609962452,77.9995854231304,184.094452698016,81.5921329929312,27.2158158257543,69.3520342779213
"M0154/CG102","MNH1_14",68.4546674699458,70.8759612764775,198.239574225307,84.8754338139315,25.9296304219136,134.565058448615
"M0154/LH198","MNH1_14",75.3119633720918,77.6954463903549,167.427294103725,90.2571561170917,27.2864467588626,81.5436064291194
"M0172/CG102","MNH1_14",70.9546674699458,72.8759612764775,185.239574225307,76.3754338139315,22.7796304219136,129.321949798615
"M0172/LH198","MNH1_14",76.3119633720918,77.1954463903549,188.427294103725,86.2571561170917,27.2864467588626,88.5106372791194
"M0186/CG102","MNH1_14",71.9546674699458,73.3759612764775,199.239574225307,81.8754338139315,26.7796304219136,132.764354748615
"M0186/LH198","MNH1_14",75.3119633720918,76.1954463903549,181.427294103725,95.7571561170917,24.9864467588626,86.6195531991194
"M0262/CG102","MNH1_14",71.4546674699458,72.8759612764775,206.239574225307,82.3754338139315,26.1296304219136,136.358732548615
"M0262/LH198","MNH1_14",76.8165609962452,78.9995854231304,185.844452698016,79.3421329929312,27.7158158257543,77.4502426404213
"M0264/CG102","MNH1_14",70.4546674699458,71.8759612764775,195.239574225307,80.3754338139315,24.3296304219136,103.067283738615
"M0266/CG102","MNH1_14",71.4546674699458,73.3759612764775,196.239574225307,72.8754338139315,24.4796304219136,117.552163698615
